Words,Frequency
coronaviruses,31
group,3
related,7
viruses,10
cause,11
diseases,5
mammals,3
birds,5
humans,4
respiratory,13
tract,7
infections,6
range,4
mild,6
lethal,3
illnesses,1
include,2
cases,8
common,9
cold,4
possible,2
causes,7
predominantly,1
rhinoviruses,2
varieties,1
sars,8
mers,1
covid-19,1
symptoms,6
species,9
vary,2
chickens,3
upper,3
disease,5
cows,1
pigs,2
diarrhea,4
yet,1
vaccines,1
antiviral,1
drugs,1
prevent,1
treat,2
human,25
coronavirus,57
constitute,1
subfamily,1
orthocoronavirinae,2
family,3
coronaviridae,2
order,2
nidovirales,2
realm,2
riboviria,2
5,5
6,2
enveloped,1
positive-sense,8
single-stranded,3
rna,20
genome,16
nucleocapsid,6
helical,1
symmetry,1
size,3
ranges,2
approximately,3
26,2
32,1
kilobases,2
one,7
largest,3
among,3
7,2
characteristic,2
club-shaped,1
spikes,2
project,1
surface,5
electron,4
micrographs,2
create,1
image,2
reminiscent,2
solar,2
corona,3
name,8
derives,1
8,2
first,5
discovered,3
1930s,2
acute,5
infection,3
domesticated,2
shown,1
caused,4
infectious,5
bronchitis,6
virus,29
ibv,2
1940s,1
two,6
animal,2
mouse,4
hepatitis,3
mhv,4
transmissible,2
gastroenteritis,2
tgev,1
isolated,1
9,2
1960s,1
10,1
earliest,1
ones,1
studied,1
patients,1
later,4
named,3
229e,3
oc43,5
11,1
imaged,1
scottish,1
virologist,1
june,1
almeida,1
st.,1
thomas,1
hospital,1
london,1
12,2
since,2
identified,4
including,1
sars-cov,7
2003,3
hcov,1
nl63,2
2004,1
hku1,2
2005,1
mers-cov,9
2012,4
sars-cov-2,2
2019.,1
involved,3
serious,2
13,1
14,1
``,4
'',4
derived,1
latin,1
meaning,1
crown,2
wreath,2
borrowing,1
greek,1
korn,1
garland,1
15,2
16,1
used,2
1968,1
informal,1
virologists,2
journal,1
nature,1
designate,1
new,4
refers,1
appearance,1
virions,1
infective,1
form,3
microscopy,1
fringe,1
large,3
bulbous,2
projections,2
creating,1
morphology,1
created,1
viral,11
spike,6
peplomers,1
proteins,14
17,2
pleomorphic,1
spherical,1
particles,2
18,1
average,1
diameter,2
around,1
120nm,1
.12,1
envelope,7
~80,1
nm,2
.08,1
~20,1
.02,1
long,4
appears,3
distinct,1
pair,1
dense,1
shells,1
19,1
20,12
consists,1
lipid,2
bilayer,2
membrane,4
e,3
structural,4
anchored,1
21,1
subset,1
specifically,1
members,1
betacoronavirus,5
subgroup,1
also,5
shorter,1
spike-like,1
protein,6
called,3
hemagglutinin,1
esterase,1
inside,2
formed,1
multiple,3
copies,1
n,2
bound,1
continuous,1
beads-on-a-string,1
type,2
conformation,1
22,1
protect,1
outside,2
host,14
cell,10
23,1
contain,1
26.4,1
31.7,1
methylated,2
cap,2
3,3
polyadenylated,2
tail,3
organization,4
5-leader-utr-replicase/transcriptase-spike,1
-envelope,1
-membrane,1
-nucleocapsid,1
-3utr-poly,1
open,2
reading,6
frames,4
1a,1
1b,1
occupy,1
two-thirds,1
encode,2
replicase/transcriptase,2
polyprotein,5
self,1
cleaves,2
nonstructural,5
four,5
major,3
24,1
interspersed,1
accessory,3
number,5
function,3
unique,2
depending,2
specific,1
begins,1
glycoprotein,1
attaches,1
complementary,1
receptor,3
attachment,1
protease,2
activates,1
receptor-attached,1
available,1
cleavage,1
activation,1
allows,2
enter,1
endocytosis,1
direct,5
fusion,1
envelop,1
25,1
entry,1
particle,1
uncoated,1
enters,1
cytoplasm,1
attach,1
's,3
ribosome,2
translation,2
translates,1
initial,2
overlapping,2
frame,2
forms,2
proteases,1
cleave,1
coalesce,1
multi-protein,1
replicase-transcriptase,2
complex,4
rtc,1
main,2
rna-dependent,2
polymerase,2
rdrp,3
directly,3
replication,4
transcription,3
strand,1
assist,1
process,1
exoribonuclease,1
instance,1
provides,1
extra,1
fidelity,1
providing,1
proofreading,1
lacks,1
functions,1
replicate,1
mediates,2
synthesis,2
negative-sense,4
genomic,6
followed,2
important,1
transcribe,1
subgenomic,2
molecules,2
corresponding,1
mrnas,3
replicated,1
becomes,1
progeny,2
gene,2
transcripts,1
last,1
third,1
translated,1
ribosomes,1
occurs,1
endoplasmic,1
reticulum,1
move,1
along,1
secretory,2
pathway,1
golgi,1
intermediate,2
compartment,1
protein-protein,1
interactions,1
required,1
assembly,1
following,2
binding,1
27,2
released,1
exocytosis,1
vesicles,1
interaction,1
complement,1
central,2
determining,1
tissue,1
tropism,2
infectivity,1
28,2
29,1
example,1
infects,2
cells,1
attaching,1
angiotensin-converting,1
enzyme,1
2,2
ace2,1
30,4
scientific,1
coronavirinae,1
4,1
belong,1
divided,1
alphacoronaviruses,1
betacoronaviruses,2
infect,4
gammacoronaviruses,1
deltacoronaviruses,1
primarily,2
31,2
recent,2
ancestor,5
mrca,1
estimated,1
existed,1
recently,2
8000,1
bce,5
although,2
models,1
place,1
far,1
back,1
55,2
million,1
years,1
implying,1
term,1
coevolution,1
bat,9
avian,3
33,1
alphacoronavirus,2
line,4
placed,1
2400,1
3300,1
gammacoronavirus,2
2800,1
deltacoronavirus,2
3000,1
bats,9
warm-blooded,1
flying,1
vertebrates,1
ideal,1
natural,1
reservoir,3
pool,1
global,2
enabled,1
extensive,1
evolution,2
dissemination,1
34,1
many,1
origin,1
35,3
shared,2
arcov.2,1
11901449,1
ce,2
36,1
ghanagrp1,1
bt,1
cov,1
16861800,1
37,1
alpaca,1
diverged,5
sometime,1
1960,1
38,1
emerged,1
camels,1
39,1
several,3
centuries,1
ago,1
40,1
closely,1
1986,1
41,1
path,1
keen,1
suggests,1
coevolved,1
time,1
ancestors,1
infected,4
leaf-nose,1
genus,1
hipposideridae,1
subsequently,1
spread,2
horseshoe,1
rhinolophidae,1
civets,1
finally,1
42,1
43,1
unlike,1
bovine,5
1,1
subgenus,1
embecovirus,1
thought,1
originated,1
rodents,2
44,1
1790s,1
equine,1
cross-species,2
jump,1
45,2
1890s,1
another,1
spillover,2
event,2
46,1
speculated,1
flu,1
pandemic,4
1890,1
may,5
influenza,1
timing,1
neurological,2
unknown,1
causative,2
agent,2
47,1
besides,1
causing,2
suspected,2
playing,1
role,1
48,1
1950s,1
began,1
diverge,1
present,1
genotypes,1
49,1
phylogentically,1
murine,3
liver,1
nervous,1
system,1
50,1
like,2
aforementioned,1
origins,1
significantly,1
risk,1
factor,1
kill,1
relatively,1
harmless,1
colds,3
fever,1
sore,1
throat,1
swollen,1
adenoids,1
51,1
pneumonia,5
either,2
secondary,3
bacterial,2
52,3
severe,3
syndrome,6
pathogenesis,2
lower,1
six,1
known,3
subdivided,1
different,2
strains,3
making,1
seven,1
altogether,1
continually,1
circulate,1
population,1
produce,3
generally,2
adults,1
children,1
worldwide,1
-oc43,1
-hku1,1
hcov-229e,1
-nl63,1
53,1
commons,1
54,1
majority,1
seasonal,1
incidence,1
occurring,1
winter,1
months,1
temperate,1
climates,2
56,1
57,1
preference,1
towards,1
particular,1
season,1
tropical,1
58,1
three,1
potentially,1
outbreak,4
begun,1
prior,2
year,1
asia,1
elsewhere,1
world,4
health,5
issued,2
press,1
release,1
stating,1
novel,3
laboratories,1
officially,2
"8,000",1
people,2
ten,1
percent,1
died,1
september,2
initially,1
middle,4
east,4
68,1
69,1
alert,1
soon,1
70,2
update,1
said,1
seem,1
pass,1
easily,1
person,2
71,1
however,1
2013,2
case,1
human-to-human,2
transmission,3
france,1
confirmed,5
french,1
ministry,2
social,1
affairs,1
72,1
addition,1
reported,2
tunisia,1
seemed,1
caught,1
late,1
father,1
became,1
ill,1
visit,1
qatar,1
saudi,2
arabia,2
despite,1
trouble,1
spreading,1
individuals,2
transmit,1
73,1
october,1
124,1
deaths,2
74,1
dutch,1
erasmus,1
medical,2
centre,2
sequenced,1
given,2
coronaviruserasmus,1
hcov-emc,1
final,1
u.s.,1
survived,1
recorded,1
2014,1
75,1
2015,1
occurred,1
republic,1
korea,1
man,1
traveled,1
visited,1
hospitals,1
seoul,1
area,1
illness,2
outbreaks,1
76,1
december,3
2019,3
"2,468",1
laboratory,3
tests,1
851,1
fatal,1
mortality,3
rate,1
34.5,1
77,1
wuhan,2
china,1
78,1
traced,1
strain,3
79,1
interim,1
2019-ncov,1
80,1
81,1
82,1
renamed,1
international,1
committee,1
taxonomy,1
researchers,1
suggested,1
huanan,1
seafood,1
wholesale,1
market,1
original,1
source,1
83,2
84,1
april,1
2020,1
least,1
"146,291",1
64,2
"2,173,432",1
2b,1
genetic,1
similarity,2
85,1
96,1
widely,1
originate,1
well,2
86,1
resulted,1
travel,1
restrictions,1
nationwide,1
lockdowns,1
countries,1
recognized,1
pathological,1
conditions,1
veterinary,2
medicine,1
except,1
mainly,1
intestinal,1
location,1
87,1
gastrointestinal,3
farm,2
animals,3
pets,1
threat,1
farming,1
industry,1
targets,1
urogenital,1
organs,1
throughout,1
chicken,1
88,1
economically,1
significant,2
porcine,1
tge,1
result,2
young,1
feline,3
enteric,2
pathogen,1
minor,1
clinical,1
significance,1
spontaneous,1
mutation,1
peritonitis,1
fip,2
associated,1
high,3
similarly,1
types,2
ferrets,1
ferret,2
epizootic,1
catarrhal,1
enteritis,1
ece,1
systemic,2
version,1
cats,1
fsc,1
89,1
canine,1
ccov,1
found,1
epidemic,1
especially,2
colonies,1
mice,2
90,1
sialodacryoadenitis,1
sdav,1
highly,1
rats,1
transmitted,1
contact,1
indirectly,1
aerosol,1
morbidity,1
salivary,1
lachrymal,1
harderian,1
glands,1
91,1
hku2-related,1
swine,1
sads-cov,1
92,1
discovery,1
best-studied,1
vivo,1
vitro,1
molecular,1
level,1
progressive,1
demyelinating,1
encephalitis,1
model,1
sclerosis,1
research,1
efforts,1
focused,1
elucidating,1
interested,1
zoonotic,1
93,1
